gene_id	CC7_tx	CC7_prot	H2_tx	H2_prot	RS_tx	RS_prot	SSB01_tx	SSB01_prot
AIPGENE334	0.57169	-0.10804	0.21337	0.09401	0.22406	0.09172	0.34162	-0.07124
AIPGENE335	-0.51931		0.03899		-0.18171		-0.81261	
AIPGENE336	-0.42573		0.11247		-0.32023		-0.87448	
AIPGENE337			-0.27183		0.56334			
AIPGENE338	0.06617	-0.01641	0.24092	0.04232	0.25252	0.00508	0.13501	0.08388
AIPGENE339	-0.46112	-0.08192	0.03184	-0.14646	-0.30645	-0.0059	-0.79068	-0.20044
AIPGENE340	0.1765		-0.04919		0.23463		0.15641	
AIPGENE341	0.00168		-0.40976		-0.25919		-0.13485	
AIPGENE343	-0.13943		-0.35204		0.60483		-1.08471	
AIPGENE344	0.12893		0.68618		-0.3986		0.07612	
AIPGENE345	-0.26914	0.00674	-0.23527	0.07992	-0.29913	-0.03323	-0.30282	0.06733
AIPGENE346	0.07434		-0.12885		-0.04949		-0.48974	
AIPGENE347	-0.32816		-0.19719		0.00826		-0.36349	
AIPGENE348	0.18509		0.36765		0.2402		0.44979	
AIPGENE349	0.50289		0.65806		0.26866		-0.58676	
AIPGENE350	-0.11247		-0.27595		-0.17118		-0.20026	
AIPGENE351	0.14698		0.14069		0.39036		-0.09156	
AIPGENE353	0.1149		0.10235		0.98351		-0.28566	
AIPGENE354	-0.2891	0.03119	-0.15969	0.09234	-0.37546	0.0061	-0.34732	0.03425
AIPGENE355	-0.52496	-0.00588	0.03975	-0.15654	-0.17442	-0.01101	-0.66568	-0.09809
AIPGENE356	-0.04695		0.06		-0.42657		0.25804	
AIPGENE357	-0.17591		-0.14075		0.68494		0.1207	
AIPGENE361	-0.1256		-0.29368		-0.05743		-0.04636	
AIPGENE362	0.37498		-0.06626		0.24923		0.2894	
AIPGENE363	-0.38223		0.08871		-0.15806		-0.11563	
AIPGENE364	0.53839		0.15943		0.09008		0.16222	
AIPGENE365	-0.42828	-0.09857	0.04031	-0.18	-0.21787	-0.03741	-0.53797	-0.12698
AIPGENE366	-0.64605						-0.41455	
AIPGENE367	-0.73523		-0.14144		-0.04519		-0.36094	
AIPGENE368			0.59306		-0.39488			
AIPGENE369	0.20704	-0.29059	-0.30026		-0.267		0.01291	-0.11706
AIPGENE370	0.06929				-1.48289		0.64809	
AIPGENE371	0.36044		0.14367		0.4323		0.2129	
AIPGENE373	-0.20067	-0.07369	0.13647	-0.06603	-0.08233	-0.05921	0.11282	-0.08264
AIPGENE374			0.39626					
AIPGENE375	0.30018	0.16891	0.28669	0.23932	0.48704		0.20906	-0.24999
AIPGENE376	-0.67433		-0.42034		-0.91537		-0.24108	
AIPGENE377	0.4288		-0.30949		0.05935		0.06457	
AIPGENE379							-0.23186	
AIPGENE381	-0.91462		-0.62672		-0.7678		-0.6999	
AIPGENE382	-0.38334		0.10341		0.57198		-1.08501	
AIPGENE383	-0.26673		-0.25995		-0.40759		-0.14021	
AIPGENE384	-0.54096		-0.27011		0.06513		-0.07789	
